recording_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
000316da7,0.14427252,0.12356048,0.075271708,0.7395624,0.063983536,0.44299664,0.06969516,0.082081366,0.046435958,0.2330348,0.03295131,0.088901376,0.71302556,0.067926454,0.28646532,0.1550576,0.11024766,0.26828794,0.23788292,0.069909304,0.13296144,0.070707684,0.03752218,0.28466664
003bc2cb2,0.05750728,0.09313237,0.029986814,0.36997172,0.070520086,0.044441574,0.010939341,0.055875408,0.07291188,0.06794849,0.025284808,0.02195487,0.080650324,0.038141232,0.11085388,0.037413126,0.9978334,0.064161914,0.072918314,0.022948961,0.026911238,0.03257602,0.023545986,0.037093368
0061c037e,0.17038724,0.09441246,0.115133452,0.5689532,0.07085322,0.48630176,0.052193916,0.38625714,0.076540148,0.129838192,0.195557952,0.20412872,0.071584588,0.078125894,0.09129374,0.087416012,0.1266036,0.21231842,0.09477126,0.05103966,0.3675443,0.107232428,0.12774516,0.20508862
010eb14d3,0.8507218,0.031460828,0.02206657,0.070650244,0.070506132,0.023945917,0.015738746,0.0518338,0.7964223,0.049843952,0.018462386,0.016741044,0.054087704,0.028694814,0.029486936,0.022464061,0.019335318,0.017264849,0.33158412,0.02219004,0.017638959,0.05313297,0.042290836,0.035853136
011318064,0.0662871,0.029161328,0.045043272,0.28709204,0.098609984,0.22986316,0.056953586,0.059618104,0.04071254,0.070014954,0.015698644,0.107104432,0.04313562,0.069264924,0.88647194,0.37848742,0.137837946,0.063639528,0.71619672,0.038904992,0.10568639,0.073835706,0.03056707,0.052232916
01307e693,0.038552458,0.052875728,0.020506434,0.7076425,0.077148188,0.042025054,0.056456292,0.68647146,0.026722002,0.065695828,0.015747276,0.189434206,0.1263065,0.055539924,0.07268414,0.52203274,0.072071946,0.116378188,0.055471272,0.039494092,0.091212666,0.064938676,0.03039106,0.18673432
013bd8b85,0.060677028,0.023710144,0.020611191,0.51173068,0.132162332,0.14487628,0.025187484,0.072910166,0.13556211,0.1040905,0.029941476,0.040687058,0.81252032,0.16004946,0.13070041,0.095621288,0.065408366,0.017861664,0.33855012,0.013550432,0.04018654,0.15620026,0.023749481,0.110192132
01812f522,0.022955648,0.089680368,0.030787608,0.20928092,0.038836402,0.016992776,0.032091266,0.072522348,0.03021754,0.184531594,0.011970082,0.039349244,0.10899324,0.02168465,0.016713831,0.02501461,0.41570086,0.7145163,0.048704594,0.01467246,0.647726,0.055575156,0.054227716,0.08455198
019db5220,0.07478136,0.016896862,0.032991108,0.34027718,0.058857084,0.8312725,0.02384363,0.11141626,0.053416968,0.06383487,0.02384719,0.029893232,0.60617514,0.035818726,0.034479236,0.030863356,0.036250818,0.02004196,0.15377406,0.043945262,0.03146108,0.04622456,0.099792576,0.9552949
01bd97dd6,0.12795786,0.031741724,0.034289358,0.4657258,0.13933904,0.070115686,0.10689282,0.10436776,0.043927604,0.093938636,0.036093718,0.037566068,0.77800484,0.040371674,0.084396768,0.035033816,0.044644802,0.10211952,0.143604266,0.05530694,0.076965356,0.12170412,0.056646348,0.4221067
